TITLE     = "Versuch_09 | Versuch_09"
VARIABLES = "Time [s]"
"Kapazitiv 2 [mm]"
"Strom [A]"
"Kalibrator [Pa]"
"Cavity Pressure [Pa]"
ZONE T="Sensoren_03"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE SINGLE DOUBLE )
 PASSIVEVARLIST=[4]
 4.000000000E-001 3.267715653E+000 -5.704414834E+001 1.597369449E+004
 4.000100000E-001 3.270292381E+000 -5.703448548E+001 1.598384119E+004
 4.000200000E-001 3.270453427E+000 -5.704414834E+001 1.598933941E+004
 4.000300000E-001 3.269165062E+000 -5.704092738E+001 1.599063898E+004
 4.000400000E-001 3.269970290E+000 -5.703770643E+001 1.599503756E+004
 4.000500000E-001 3.274640611E+000 -5.703770643E+001 1.597784314E+004
 4.000600000E-001 3.268842971E+000 -5.703770643E+001 1.597009566E+004
 4.000700000E-001 3.270131336E+000 -5.703448548E+001 1.598329137E+004
 4.000800000E-001 3.272224928E+000 -5.704414834E+001 1.598069221E+004
 4.000900000E-001 3.269487153E+000 -5.703770643E+001 1.599628715E+004
 4.001000000E-001 3.268359835E+000 -5.704414834E+001 1.598429105E+004
 4.001100000E-001 3.268842971E+000 -5.704736929E+001 1.598983924E+004
 4.001200000E-001 3.270453427E+000 -5.702804358E+001 1.598379121E+004
 4.001300000E-001 3.269165062E+000 -5.704092738E+001 1.597019562E+004
 4.001400000E-001 3.270614472E+000 -5.703770643E+001 1.596774642E+004
 4.001500000E-001 3.269809245E+000 -5.704092738E+001 1.597929267E+004
 4.001600000E-001 3.269648199E+000 -5.704092738E+001 1.597914272E+004
 4.001700000E-001 3.270775518E+000 -5.703448548E+001 1.598948936E+004
 4.001800000E-001 3.273191201E+000 -5.704092738E+001 1.597719335E+004
 4.001900000E-001 3.271258654E+000 -5.704092738E+001 1.598369124E+004
 4.002000000E-001 3.271258654E+000 -5.704414834E+001 1.598828975E+004
 4.002100000E-001 3.271741791E+000 -5.704092738E+001 1.599258835E+004
 4.002200000E-001 3.269326108E+000 -5.704414834E+001 1.597809306E+004
 4.002300000E-001 3.266910425E+000 -5.703770643E+001 1.598094213E+004
 4.002400000E-001 3.271902837E+000 -5.704092738E+001 1.597749325E+004
 4.002500000E-001 3.268681926E+000 -5.704736929E+001 1.599478764E+004
 4.002600000E-001 3.272224928E+000 -5.704414834E+001 1.598059225E+004
 4.002700000E-001 3.266749379E+000 -5.704414834E+001 1.598594051E+004
 4.002800000E-001 3.271258654E+000 -5.705059024E+001 1.598694019E+004
 4.002900000E-001 3.269326108E+000 -5.704736929E+001 1.598524074E+004
 4.003000000E-001 3.271902837E+000 -5.704414834E+001 1.598504080E+004
 4.003100000E-001 3.270131336E+000 -5.704092738E+001 1.597289475E+004
 4.003200000E-001 3.271580745E+000 -5.704736929E+001 1.598059225E+004
 4.003300000E-001 3.269487153E+000 -5.704092738E+001 1.598973928E+004
 4.003400000E-001 3.272063882E+000 -5.704092738E+001 1.599433778E+004
 4.003500000E-001 3.271097609E+000 -5.704414834E+001 1.597884282E+004
 4.003600000E-001 3.270614472E+000 -5.703770643E+001 1.599293824E+004
 4.003700000E-001 3.270775518E+000 -5.704092738E+001 1.598888955E+004
 4.003800000E-001 3.272224928E+000 -5.704092738E+001 1.598604048E+004
 4.003900000E-001 3.267715653E+000 -5.704092738E+001 1.598714012E+004
 4.004000000E-001 3.273352246E+000 -5.705059024E+001 1.597359452E+004
 4.004100000E-001 3.266266243E+000 -5.704092738E+001 1.597744327E+004
 4.004200000E-001 3.272869110E+000 -5.704414834E+001 1.598194181E+004
 4.004300000E-001 3.269004017E+000 -5.704092738E+001 1.597934265E+004
 4.004400000E-001 3.270131336E+000 -5.704092738E+001 1.597389442E+004
 4.004500000E-001 3.270775518E+000 -5.705059024E+001 1.598094213E+004
 4.004600000E-001 3.274318520E+000 -5.704092738E+001 1.598379121E+004
 4.004700000E-001 3.268681926E+000 -5.704736929E+001 1.598259160E+004
 4.004800000E-001 3.269970290E+000 -5.704414834E+001 1.597839296E+004
 4.004900000E-001 3.268520880E+000 -5.704092738E+001 1.597314467E+004
