TITLE     = "Versuch_10 | Versuch_10"
VARIABLES = "Time [s]"
"Kalibrator [Pa]"
"Kapazitiv 2 [mm]"
"Strom [A]"
"Cavity Pressure [Pa]"
ZONE T="Referenz_01"
 STRANDID=0, SOLUTIONTIME=0
 I=9, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE SINGLE SINGLE DOUBLE )
 PASSIVEVARLIST=[3-4]
 4.000400450E-001 8.724320000E+003 -1.596000000E+003
 4.500450506E-001 8.724290000E+003 -1.596000000E+003
 5.000500563E-001 8.724320000E+003 -1.596000000E+003
 5.500550619E-001 8.724360000E+003 -1.596000000E+003
 6.000600675E-001 8.724420000E+003 -1.596000000E+003
 6.500650732E-001 8.724400000E+003 -1.596000000E+003
 7.000700788E-001 8.724460000E+003 -1.596000000E+003
 7.500750844E-001 8.724590000E+003 -1.596000000E+003
 8.000800900E-001 8.724630000E+003 -1.596000000E+003
ZONE T="Sensoren_01"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE SINGLE DOUBLE DOUBLE DOUBLE )
 PASSIVEVARLIST=[2]
 4.000000000E-001 3.253865736E+000 -6.202374165E+001 8.721949485E+003
 4.000100000E-001 3.251450053E+000 -6.202374165E+001 8.723998820E+003
 4.000200000E-001 3.254509918E+000 -6.202696260E+001 8.729646986E+003
 4.000300000E-001 3.251611098E+000 -6.203018355E+001 8.714951758E+003
 4.000400000E-001 3.255637237E+000 -6.202374165E+001 8.713352277E+003
 4.000500000E-001 3.253060508E+000 -6.202696260E+001 8.715101709E+003
 4.000600000E-001 3.253865736E+000 -6.203018355E+001 8.720200054E+003
 4.000700000E-001 3.255315146E+000 -6.202696260E+001 8.713752147E+003
 4.000800000E-001 3.253060508E+000 -6.203018355E+001 8.723299047E+003
 4.000900000E-001 3.251289007E+000 -6.203018355E+001 8.724848544E+003
 4.001000000E-001 3.254026781E+000 -6.202374165E+001 8.719100411E+003
 4.001100000E-001 3.252094235E+000 -6.202696260E+001 8.717500930E+003
 4.001200000E-001 3.249034370E+000 -6.203340451E+001 8.726997846E+003
 4.001300000E-001 3.253221554E+000 -6.202374165E+001 8.717300995E+003
 4.001400000E-001 3.252255280E+000 -6.202696260E+001 8.701156238E+003
 4.001500000E-001 3.252899463E+000 -6.202374165E+001 8.714501904E+003
 4.001600000E-001 3.254993055E+000 -6.201729974E+001 8.713402261E+003
 4.001700000E-001 3.253865736E+000 -6.202052069E+001 8.719950135E+003
 4.001800000E-001 3.253221554E+000 -6.202374165E+001 8.709303592E+003
 4.001900000E-001 3.253865736E+000 -6.202696260E+001 8.714152017E+003
 4.002000000E-001 3.252577372E+000 -6.203018355E+001 8.713952082E+003
 4.002100000E-001 3.254026781E+000 -6.202696260E+001 8.716201352E+003
 4.002200000E-001 3.252738417E+000 -6.202374165E+001 8.698307163E+003
 4.002300000E-001 3.254993055E+000 -6.202374165E+001 8.714601871E+003
 4.002400000E-001 3.252899463E+000 -6.203018355E+001 8.719550265E+003
 4.002500000E-001 3.251772144E+000 -6.202374165E+001 8.713152342E+003
 4.002600000E-001 3.254348873E+000 -6.202052069E+001 8.722899177E+003
 4.002700000E-001 3.253382599E+000 -6.202696260E+001 8.710253284E+003
 4.002800000E-001 3.252416326E+000 -6.202374165E+001 8.711302943E+003
 4.002900000E-001 3.254832009E+000 -6.203018355E+001 8.728997197E+003
 4.003000000E-001 3.250322734E+000 -6.202052069E+001 8.717700865E+003
 4.003100000E-001 3.252416326E+000 -6.202374165E+001 8.715351628E+003
 4.003200000E-001 3.252416326E+000 -6.202374165E+001 8.718300670E+003
 4.003300000E-001 3.254026781E+000 -6.202374165E+001 8.714451920E+003
 4.003400000E-001 3.250966916E+000 -6.202374165E+001 8.721649583E+003
 4.003500000E-001 3.256442465E+000 -6.202374165E+001 8.703905345E+003
 4.003600000E-001 3.254993055E+000 -6.202696260E+001 8.713552212E+003
 4.003700000E-001 3.252094235E+000 -6.202374165E+001 8.713052375E+003
 4.003800000E-001 3.252094235E+000 -6.202374165E+001 8.721249713E+003
 4.003900000E-001 3.255476191E+000 -6.202374165E+001 8.720749875E+003
 4.004000000E-001 3.251450053E+000 -6.202374165E+001 8.712752472E+003
 4.004100000E-001 3.251289007E+000 -6.202374165E+001 8.716451271E+003
 4.004200000E-001 3.249517506E+000 -6.202052069E+001 8.717251011E+003
 4.004300000E-001 3.252094235E+000 -6.202696260E+001 8.700556432E+003
 4.004400000E-001 3.250644825E+000 -6.202374165E+001 8.721149745E+003
 4.004500000E-001 3.254348873E+000 -6.202374165E+001 8.718950459E+003
 4.004600000E-001 3.252577372E+000 -6.202052069E+001 8.712952407E+003
 4.004700000E-001 3.254187827E+000 -6.203018355E+001 8.711752797E+003
 4.004800000E-001 3.253865736E+000 -6.202696260E+001 8.703505475E+003
 4.004900000E-001 3.253865736E+000 -6.202374165E+001 8.697007585E+003
 4.005000000E-001 3.252577372E+000 -6.202696260E+001 8.705054972E+003
 4.005100000E-001 3.252899463E+000 -6.202374165E+001 8.709903397E+003
 4.005200000E-001 3.251933189E+000 -6.202052069E+001 8.707454192E+003
 4.005300000E-001 3.255154100E+000 -6.202052069E+001 8.703255556E+003
 4.005400000E-001 3.251933189E+000 -6.202696260E+001 8.714401936E+003
 4.005500000E-001 3.256442465E+000 -6.203018355E+001 8.715451595E+003
 4.005600000E-001 3.252094235E+000 -6.202374165E+001 8.710953056E+003
 4.005700000E-001 3.251772144E+000 -6.202052069E+001 8.705504825E+003
 4.005800000E-001 3.252577372E+000 -6.202374165E+001 8.699956627E+003
 4.005900000E-001 3.254348873E+000 -6.202374165E+001 8.708953706E+003
 4.006000000E-001 3.251450053E+000 -6.202374165E+001 8.700506449E+003
 4.006100000E-001 3.253382599E+000 -6.202696260E+001 8.706904371E+003
 4.006200000E-001 3.252738417E+000 -6.202374165E+001 8.709603495E+003
 4.006300000E-001 3.250000643E+000 -6.202052069E+001 8.706754420E+003
 4.006400000E-001 3.252255280E+000 -6.202052069E+001 8.720000118E+003
 4.006500000E-001 3.253865736E+000 -6.202052069E+001 8.709703462E+003
 4.006600000E-001 3.253865736E+000 -6.202374165E+001 8.721099761E+003
 4.006700000E-001 3.254832009E+000 -6.202374165E+001 8.703555458E+003
 4.006800000E-001 3.253865736E+000 -6.203018355E+001 8.713802131E+003
 4.006900000E-001 3.252094235E+000 -6.202696260E+001 8.715501579E+003
 4.007000000E-001 3.252899463E+000 -6.202052069E+001 8.714451920E+003
 4.007100000E-001 3.251772144E+000 -6.202374165E+001 8.718550589E+003
 4.007200000E-001 3.254187827E+000 -6.202374165E+001 8.706954355E+003
 4.007300000E-001 3.250483780E+000 -6.202374165E+001 8.715551563E+003
 4.007400000E-001 3.252255280E+000 -6.201729974E+001 8.688960198E+003
 4.007500000E-001 3.251772144E+000 -6.202374165E+001 8.708253933E+003
 4.007600000E-001 3.251933189E+000 -6.201729974E+001 8.704055296E+003
 4.007700000E-001 3.252577372E+000 -6.202374165E+001 8.702255880E+003
 4.007800000E-001 3.252255280E+000 -6.202374165E+001 8.707654128E+003
 4.007900000E-001 3.251772144E+000 -6.201729974E+001 8.709503527E+003
 4.008000000E-001 3.257408738E+000 -6.202374165E+001 8.710803105E+003
 4.008100000E-001 3.253543645E+000 -6.202374165E+001 8.710453219E+003
 4.008200000E-001 3.254187827E+000 -6.202374165E+001 8.714551888E+003
 4.008300000E-001 3.250805871E+000 -6.202052069E+001 8.706354550E+003
 4.008400000E-001 3.257086647E+000 -6.202374165E+001 8.703005637E+003
 4.008500000E-001 3.253543645E+000 -6.202374165E+001 8.713502228E+003
 4.008600000E-001 3.251450053E+000 -6.202052069E+001 8.708953706E+003
 4.008700000E-001 3.253060508E+000 -6.202374165E+001 8.705904696E+003
 4.008800000E-001 3.255959328E+000 -6.202374165E+001 8.702655751E+003
 4.008900000E-001 3.250644825E+000 -6.201729974E+001 8.713802131E+003
 4.009000000E-001 3.258052920E+000 -6.201729974E+001 8.707054322E+003
 4.009100000E-001 3.250322734E+000 -6.202374165E+001 8.701856010E+003
 4.009200000E-001 3.253865736E+000 -6.203018355E+001 8.710653154E+003
 4.009300000E-001 3.255637237E+000 -6.202696260E+001 8.703005637E+003
 4.009400000E-001 3.251289007E+000 -6.202052069E+001 8.704555134E+003
 4.009500000E-001 3.251450053E+000 -6.202374165E+001 8.709953381E+003
 4.009600000E-001 3.252255280E+000 -6.201407878E+001 8.700656400E+003
 4.009700000E-001 3.252094235E+000 -6.202052069E+001 8.703255556E+003
 4.009800000E-001 3.254670964E+000 -6.202052069E+001 8.715001742E+003
 4.009900000E-001 3.252094235E+000 -6.201729974E+001 8.713502228E+003
 4.010000000E-001 3.254509918E+000 -6.201407878E+001 8.707504176E+003
 4.010100000E-001 3.254993055E+000 -6.201729974E+001 8.695857958E+003
 4.010200000E-001 3.251289007E+000 -6.202052069E+001 8.705004988E+003
 4.010300000E-001 3.254187827E+000 -6.201729974E+001 8.706604468E+003
 4.010400000E-001 3.252416326E+000 -6.201729974E+001 8.701356173E+003
 4.010500000E-001 3.252577372E+000 -6.202052069E+001 8.712352602E+003
 4.010600000E-001 3.252094235E+000 -6.202052069E+001 8.707554160E+003
 4.010700000E-001 3.254026781E+000 -6.201407878E+001 8.702455816E+003
 4.010800000E-001 3.250644825E+000 -6.202052069E+001 8.713902099E+003
 4.010900000E-001 3.256281419E+000 -6.201407878E+001 8.705554809E+003
 4.011000000E-001 3.251933189E+000 -6.201729974E+001 8.711552862E+003
 4.011100000E-001 3.253060508E+000 -6.201729974E+001 8.714102034E+003
 4.011200000E-001 3.252094235E+000 -6.201729974E+001 8.695258153E+003
 4.011300000E-001 3.252416326E+000 -6.201729974E+001 8.703155588E+003
 4.011400000E-001 3.253221554E+000 -6.201729974E+001 8.704955004E+003
 4.011500000E-001 3.253543645E+000 -6.202374165E+001 8.696207844E+003
 4.011600000E-001 3.250805871E+000 -6.201407878E+001 8.707854063E+003
 4.011700000E-001 3.255959328E+000 -6.202374165E+001 8.702205897E+003
 4.011800000E-001 3.250644825E+000 -6.202052069E+001 8.704705085E+003
 4.011900000E-001 3.253543645E+000 -6.201729974E+001 8.711003040E+003
 4.012000000E-001 3.252255280E+000 -6.201407878E+001 8.712302618E+003
 4.012100000E-001 3.250322734E+000 -6.201729974E+001 8.707804079E+003
 4.012200000E-001 3.251450053E+000 -6.202374165E+001 8.706554485E+003
 4.012300000E-001 3.253543645E+000 -6.201729974E+001 8.712752472E+003
 4.012400000E-001 3.251450053E+000 -6.202374165E+001 8.709253608E+003
 4.012500000E-001 3.252094235E+000 -6.201729974E+001 8.701006286E+003
 4.012600000E-001 3.250483780E+000 -6.202052069E+001 8.700956302E+003
 4.012700000E-001 3.253543645E+000 -6.201407878E+001 8.707004339E+003
 4.012800000E-001 3.251611098E+000 -6.201407878E+001 8.705004988E+003
 4.012900000E-001 3.255476191E+000 -6.201729974E+001 8.701706059E+003
 4.013000000E-001 3.253382599E+000 -6.202052069E+001 8.713902099E+003
 4.013100000E-001 3.255154100E+000 -6.202052069E+001 8.707554160E+003
 4.013200000E-001 3.250966916E+000 -6.202374165E+001 8.709853413E+003
 4.013300000E-001 3.254993055E+000 -6.201407878E+001 8.711852764E+003
 4.013400000E-001 3.253382599E+000 -6.201729974E+001 8.696707682E+003
 4.013500000E-001 3.254187827E+000 -6.202374165E+001 8.715751498E+003
 4.013600000E-001 3.249678552E+000 -6.201729974E+001 8.729147148E+003
 4.013700000E-001 3.251611098E+000 -6.202374165E+001 8.698607065E+003
 4.013800000E-001 3.253060508E+000 -6.202052069E+001 8.699606741E+003
 4.013900000E-001 3.254670964E+000 -6.202052069E+001 8.703505475E+003
 4.014000000E-001 3.250966916E+000 -6.201407878E+001 8.706404533E+003
 4.014100000E-001 3.254993055E+000 -6.202052069E+001 8.708004014E+003
 4.014200000E-001 3.248390187E+000 -6.201729974E+001 8.710903073E+003
 4.014300000E-001 3.255315146E+000 -6.202374165E+001 8.705404858E+003
 4.014400000E-001 3.252899463E+000 -6.202374165E+001 8.712502553E+003
 4.014500000E-001 3.253382599E+000 -6.201729974E+001 8.710653154E+003
 4.014600000E-001 3.249678552E+000 -6.202052069E+001 8.710103332E+003
 4.014700000E-001 3.251289007E+000 -6.202374165E+001 8.709503527E+003
 4.014800000E-001 3.255959328E+000 -6.201729974E+001 8.697357471E+003
 4.014900000E-001 3.254993055E+000 -6.201729974E+001 8.714751823E+003
 4.015000000E-001 3.250322734E+000 -6.202052069E+001 8.714052050E+003
 4.015100000E-001 3.253221554E+000 -6.202052069E+001 8.708453868E+003
 4.015200000E-001 3.254348873E+000 -6.202374165E+001 8.707954030E+003
 4.015300000E-001 3.249839597E+000 -6.202374165E+001 8.710953056E+003
 4.015400000E-001 3.255959328E+000 -6.202374165E+001 8.712402586E+003
 4.015500000E-001 3.251611098E+000 -6.202052069E+001 8.698956952E+003
 4.015600000E-001 3.253221554E+000 -6.201729974E+001 8.708553835E+003
 4.015700000E-001 3.250966916E+000 -6.202052069E+001 8.711402910E+003
 4.015800000E-001 3.252899463E+000 -6.202052069E+001 8.705254907E+003
 4.015900000E-001 3.251611098E+000 -6.202052069E+001 8.702055945E+003
 4.016000000E-001 3.251772144E+000 -6.202052069E+001 8.715451595E+003
 4.016100000E-001 3.252094235E+000 -6.202052069E+001 8.713302293E+003
 4.016200000E-001 3.252094235E+000 -6.201407878E+001 8.710453219E+003
 4.016300000E-001 3.252255280E+000 -6.201407878E+001 8.704205247E+003
 4.016400000E-001 3.255476191E+000 -6.202052069E+001 8.718200703E+003
 4.016500000E-001 3.251127962E+000 -6.202052069E+001 8.715501579E+003
 4.016600000E-001 3.253060508E+000 -6.202374165E+001 8.717600898E+003
