 ZONE T="dp=0kPa"
 STRANDID=0, SOLUTIONTIME=0
 I=40002, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE ) 
 1.000000000E-001 1.734748029E-001
 1.000100000E-001 1.736358483E-001
 1.000200000E-001 1.736358483E-001
 1.000300000E-001 1.746021205E-001
 1.000400000E-001 1.739579390E-001
 1.000500000E-001 1.749242113E-001
 1.000600000E-001 1.742800298E-001
 1.000700000E-001 1.749242113E-001
 1.000800000E-001 1.741189844E-001
 1.000900000E-001 1.749242113E-001
 1.001000000E-001 1.742800298E-001
 1.001100000E-001 1.749242113E-001
 1.001200000E-001 1.742800298E-001
 1.001300000E-001 1.747631659E-001
 1.001400000E-001 1.739579390E-001
 1.001500000E-001 1.746021205E-001
 1.001600000E-001 1.739579390E-001
 1.001700000E-001 1.749242113E-001
 1.001800000E-001 1.744410752E-001
 1.001900000E-001 1.749242113E-001
 1.002000000E-001 1.746021205E-001
 1.002100000E-001 1.754073474E-001
 1.002200000E-001 1.734748029E-001
 1.002300000E-001 1.746021205E-001
 1.002400000E-001 1.734748029E-001
 1.002500000E-001 1.739579390E-001
 1.002600000E-001 1.737968936E-001
 1.002700000E-001 1.747631659E-001
 1.002800000E-001 1.746021205E-001
 1.002900000E-001 1.754073474E-001
 1.003000000E-001 1.749242113E-001
 1.003100000E-001 1.752463021E-001
 1.003200000E-001 1.739579390E-001
 1.003300000E-001 1.746021205E-001
 1.003400000E-001 1.737968936E-001
 1.003500000E-001 1.742800298E-001
 1.003600000E-001 1.737968936E-001
 1.003700000E-001 1.741189844E-001
 1.003800000E-001 1.737968936E-001
 1.003900000E-001 1.746021205E-001
 1.004000000E-001 1.741189844E-001
 1.004100000E-001 1.747631659E-001
 1.004200000E-001 1.739579390E-001
 1.004300000E-001 1.749242113E-001
 1.004400000E-001 1.742800298E-001
 1.004500000E-001 1.747631659E-001
 1.004600000E-001 1.741189844E-001
 1.004700000E-001 1.750852567E-001
 1.004800000E-001 1.744410752E-001
 1.004900000E-001 1.749242113E-001
 1.005000000E-001 1.741189844E-001
 1.005100000E-001 1.750852567E-001
 1.005200000E-001 1.739579390E-001
 1.005300000E-001 1.749242113E-001
 1.005400000E-001 1.746021205E-001
 1.005500000E-001 1.744410752E-001
 1.005600000E-001 1.739579390E-001
 1.005700000E-001 1.747631659E-001
 1.005800000E-001 1.744410752E-001
 1.005900000E-001 1.747631659E-001
 1.006000000E-001 1.741189844E-001
 1.006100000E-001 1.749242113E-001
 1.006200000E-001 1.744410752E-001
 1.006300000E-001 1.750852567E-001
 1.006400000E-001 1.739579390E-001
 1.006500000E-001 1.749242113E-001
